host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,about_length,days_hosting,num_verifications,num_amenities
within an hour,1,1,f,188,t,t,Entire home/apt,2,1 bath,1,2,94,2,1125,6,36,66,341,54,21,3,4.61,4.8,4.78,4.69,4.74,4.91,4.56,t,3.3,165,1502,4,28
within an hour,1,1,t,1,t,t,Entire home/apt,6,2 baths,3,4,218,2,1125,6,24,35,283,168,58,5,4.9,4.95,4.8,4.97,4.96,4.96,4.9,t,6.74,39,1916,8,33
within an hour,1,1,t,4,t,t,Hotel room,2,1 private bath,1,1,311,1,365,5,24,45,271,2,0,0,5,5,5,5,5,5,5,t,0.1,0,1227,5,20
within an hour,1,1,t,110,t,t,Entire home/apt,6,2 baths,2,2,352,1,365,13,38,66,341,43,15,2,4.95,5,4.98,4.98,4.98,4.86,4.81,t,1.45,0,1376,8,25
within an hour,1,1,f,188,t,t,Entire home/apt,8,2 baths,3,5,156,2,1125,16,46,76,351,10,8,2,4.7,4.8,4.8,4.9,4.9,4.7,4.6,t,0.34,165,1502,4,26
within an hour,1,1,t,1,t,t,Entire home/apt,3,1 bath,1,1,176,1,1125,1,13,36,210,356,122,8,4.99,4.97,4.99,4.99,5,4.95,4.95,t,11.11,108,2320,9,34
within an hour,1,1,t,2,t,t,Entire home/apt,6,2 baths,2,3,363,2,1125,1,12,27,250,30,6,2,5,5,5,5,5,4.97,4.9,t,1,0,965,2,40
within an hour,0.97,0.99,t,2,t,t,Entire home/apt,5,1 bath,3,3,196,1,10,7,18,38,301,213,85,7,4.88,4.92,4.94,4.96,4.93,4.85,4.81,f,8.2,120,2337,7,38
within an hour,1,1,t,1,t,t,Entire home/apt,2,1.5 baths,1,1,300,3,30,10,28,46,136,107,48,3,5,5,5,4.94,5,5,5,f,15.97,38,2846,8,20
within an hour,1,1,t,2,t,f,Private room,2,1 private bath,1,1,77,2,5,0,0,16,196,9,2,0,5,5,5,5,5,5,5,f,0.3,81,1297,2,29
within an hour,1,1,t,1,t,t,Entire home/apt,2,1 bath,1,2,68,1,90,18,46,76,351,38,18,2,4.92,4.95,5,5,4.97,4.95,4.92,t,26.51,0,2920,4,28
within an hour,1,1,t,2,t,t,Entire home/apt,6,2 baths,2,3,363,2,1125,0,8,26,249,35,11,1,5,5,5,5,5,4.8,4.89,t,1.1,0,965,2,40
within an hour,1,1,t,1,t,t,Entire home/apt,4,1 bath,1,2,106,2,1125,4,14,25,106,170,59,5,4.96,4.99,4.96,4.98,4.99,4.95,4.96,t,5.7,199,2754,4,40
within an hour,0.97,1,t,1,t,f,Entire home/apt,6,2 baths,3,4,169,3,1125,12,35,60,335,31,18,2,4.94,4.97,4.81,5,4.94,4.94,4.97,t,1.05,0,958,1,45
within an hour,1,0.98,t,1,t,t,Entire home/apt,6,1.5 baths,2,3,185,2,1125,1,1,1,1,61,35,4,4.92,4.97,4.82,4.93,4.93,4.98,4.8,f,5.45,27,956,4,30
within a day,1,0.84,t,1,t,f,Entire home/apt,6,2 baths,2,2,163,2,1125,11,33,63,243,72,27,2,4.99,4.99,4.97,5,4.92,4.92,4.89,f,2.61,0,954,2,34
within an hour,1,0.94,t,1,t,t,Private room,2,1 private bath,1,1,286,3,14,4,18,46,46,49,19,1,4.94,4.94,4.94,4.94,4.96,5,4.92,f,1.56,0,952,4,29
within a few hours,1,1,t,2,t,t,Entire home/apt,8,3 baths,4,5,295,2,10,4,20,29,242,12,8,1,4.83,5,4.92,4.92,4.92,4.92,5,t,0.51,5,2453,6,27
within an hour,1,1,t,1,t,f,Entire home/apt,4,1 bath,2,2,175,3,30,15,31,54,144,83,41,3,4.87,4.93,4.95,4.99,4.91,4.95,4.85,t,3.7,84,3017,3,27
within an hour,1,0.96,t,4,t,t,Entire home/apt,4,2 baths,2,2,229,2,60,2,2,2,2,147,68,4,4.88,4.98,4.9,4.99,4.96,4.92,4.75,f,15.47,13,1316,6,38
within an hour,1,1,t,110,t,t,Entire home/apt,4,1 bath,1,2,281,1,365,7,34,64,339,56,22,2,4.89,4.91,4.98,4.96,4.88,4.79,4.73,t,1.81,0,1376,8,27
within an hour,1,1,t,110,t,t,Entire home/apt,4,1 bath,1,2,281,1,365,14,44,74,349,66,19,0,4.86,4.95,4.97,4.97,4.89,4.79,4.56,t,2.63,0,1376,8,23
within an hour,1,1,t,110,t,t,Entire home/apt,4,1 bath,1,2,274,1,365,17,41,71,346,76,23,1,4.74,4.91,4.95,4.95,4.91,4.63,4.59,t,2.44,0,1376,8,27
within a day,0.5,0.88,t,2,t,f,Entire home/apt,5,1 bath,2,3,170,3,30,7,21,39,304,28,20,2,4.82,4.96,4.82,4.96,4.96,4.93,4.86,f,0.91,0,2092,2,47
within a few hours,1,0.8,t,2,t,t,Entire home/apt,10,2.5 baths,4,4,410,3,1125,19,46,70,345,8,4,0,5,4.88,5,5,5,5,4.75,f,0.33,0,2634,5,22
within an hour,1,0.96,t,4,t,t,Entire home/apt,4,2.5 baths,2,2,229,2,1125,2,2,2,2,128,56,3,4.88,4.93,4.88,4.99,4.92,4.85,4.73,f,6.59,13,1316,6,32
within an hour,1,0.98,t,2,t,t,Entire home/apt,4,1.5 baths,2,2,152,1,1125,10,31,59,149,59,34,1,4.93,4.95,4.98,5,5,4.88,4.9,t,2.57,77,2720,9,49
within an hour,1,0.96,t,1,t,t,Entire home/apt,2,1 bath,1,1,93,2,1125,12,34,49,49,28,28,0,4.93,4.96,5,5,5,4.89,5,f,7.78,65,1339,7,38
within an hour,1,0.98,t,2,t,t,Entire home/apt,3,1 bath,1,2,102,1,1125,7,25,48,136,231,104,9,4.91,4.92,4.95,4.98,4.98,4.96,4.87,t,80.58,51,940,7,47
within an hour,1,0.96,t,4,t,t,Entire home/apt,4,2.5 baths,2,2,268,2,60,5,5,5,5,122,61,5,4.95,4.96,4.89,4.96,4.97,4.94,4.89,f,4.01,13,1316,6,33
within an hour,1,0.98,t,0,t,t,Entire home/apt,6,1 bath,2,2,139,2,1125,6,6,6,6,81,42,2,4.98,4.95,4.98,4.99,4.99,4.96,4.84,t,3.15,13,1853,6,36
within an hour,0.99,0.98,t,171,t,t,Entire home/apt,6,2 baths,3,3,263,2,365,13,40,66,341,13,6,0,4.77,4.77,5,4.77,4.69,4.54,4.31,t,1.15,63,1853,7,31
within an hour,1,1,t,21,t,t,Entire home/apt,10,3.5 baths,5,5,560,2,14,7,23,34,73,64,23,3,4.84,4.89,4.69,4.97,4.98,4.91,4.64,t,2.24,147,3773,7,64
within an hour,1,1,t,6,t,t,Entire home/apt,4,1 bath,1,2,364,1,30,0,0,0,2,148,148,16,4.97,4.99,4.96,5,4.99,4.97,4.8,t,18.66,68,2949,7,32
within an hour,1,0.98,t,1,t,t,Entire home/apt,4,1 bath,1,2,168,2,365,6,15,45,225,152,81,6,4.99,4.99,4.98,4.99,4.99,4.97,4.94,f,62.47,140,3332,6,48
within a few hours,1,0.98,t,1,t,t,Entire home/apt,2,1 bath,1,1,85,2,30,3,5,5,185,42,25,4,5,5,4.98,5,4.98,4.98,5,f,1.38,30,1355,7,40
within an hour,1,1,t,6,t,t,Entire home/apt,4,1 bath,1,2,307,1,30,0,2,13,91,124,124,13,4.99,4.99,4.99,4.99,5,4.97,4.85,t,11.2,68,2949,7,29
within a day,1,0.92,t,2,t,t,Private room,2,1.5 baths,1,2,53,30,1125,0,10,40,315,21,6,0,4.8,4.75,5,4.9,4.65,4.8,4.75,f,0.68,3,1775,5,39
within a day,1,0.45,t,2,t,t,Private room,2,1 shared bath,1,2,79,1,1125,2,2,5,133,5,2,0,5,5,5,5,5,5,5,f,0.19,24,2947,7,39
within an hour,1,1,t,2,t,t,Entire home/apt,6,2 baths,2,3,339,1,1125,16,35,52,297,54,29,6,4.94,4.98,4.96,4.96,5,4.83,4.67,t,2.24,0,1920,5,25
within an hour,1,0.98,f,4,t,f,Entire home/apt,11,3 baths,4,5,366,1,365,10,26,41,131,11,5,1,4.73,4.8,4.1,4.9,4.9,4.9,4.7,f,0.4,76,2708,4,41
within an hour,1,1,t,2,t,t,Entire home/apt,2,1 bath,1,2,77,2,7,4,16,46,122,145,81,7,4.97,5,4.95,4.99,4.99,4.97,4.96,t,5.62,41,2222,4,46
within a few hours,1,1,f,8,t,f,Hotel room,2,1 private bath,1,1,519,1,14,7,16,40,296,1,1,0,5,5,5,5,5,5,5,t,0.16,56,2358,3,16
within a few hours,1,1,f,8,t,f,Hotel room,2,1 private bath,1,1,289,1,14,5,17,33,292,1,1,0,5,5,5,5,5,5,5,t,0.22,56,2358,3,16
within a few hours,1,1,f,8,t,f,Hotel room,2,1 private bath,1,1,472,1,14,16,39,56,315,1,1,0,5,5,5,5,5,5,5,t,0.3,56,2358,3,17
within a few hours,1,1,f,8,t,f,Hotel room,2,1 private bath,1,1,305,1,14,7,18,30,289,3,3,0,5,5,4.67,5,4.67,5,4.67,t,0.3,56,2358,3,16
within an hour,1,0.93,t,3,t,t,Private room,4,2 baths,2,2,52,28,60,0,0,6,281,6,1,0,5,4.83,5,5,5,4.83,5,f,0.22,74,2212,6,32
within an hour,1,1,t,4,t,t,Entire home/apt,4,2 baths,2,2,96,1,30,0,0,0,0,20,1,0,4.9,4.9,4.85,4.95,4.9,4.85,4.9,t,0.69,194,2696,8,36
within an hour,1,1,t,1,t,t,Entire home/apt,6,1 bath,2,2,176,2,14,2,9,25,115,109,49,5,4.95,4.94,4.91,4.99,4.98,4.98,4.91,t,4.08,20,2774,4,32
within an hour,1,1,t,0,t,t,Entire home/apt,2,1 bath,1,0,113,2,1125,16,46,76,166,88,22,4,4.94,4.97,4.92,5,4.9,5,4.94,t,6.44,38,2302,3,20
within an hour,1,1,t,1,t,t,Entire home/apt,4,1.5 baths,2,2,172,1,1125,2,19,33,296,141,58,5,4.7,4.89,4.73,4.94,4.89,4.91,4.73,f,8.58,0,1602,5,50
within a few hours,1,0.96,t,1,t,t,Entire home/apt,4,2 baths,2,2,176,2,7,0,0,0,0,49,15,1,5,4.98,5,5,5,5,5,f,1.67,79,911,6,52
within an hour,1,1,t,18,t,f,Private room,2,1 private bath,1,0,29,1,5,24,54,84,174,91,39,0,4.8,4.89,4.81,4.89,4.92,4.91,4.8,t,4.01,13,1490,4,9
within an hour,1,1,t,1,t,f,Entire home/apt,4,1 bath,2,2,84,1,1125,18,28,28,259,209,83,10,4.9,4.97,4.96,4.98,4.96,4.88,4.94,t,8.7,0,906,5,32
within an hour,1,0.5,t,1,t,f,Private room,1,1.5 baths,1,1,40,30,1125,0,16,33,108,16,2,0,4.88,5,4.88,5,5,4.94,4.94,f,2.93,0,1253,2,29
within an hour,0.99,0.98,t,171,t,t,Entire home/apt,4,1 bath,2,3,268,2,365,8,34,46,321,14,11,0,4.79,4.79,5,4.93,4.64,4.71,4.5,t,0.5,63,1853,7,34
within an hour,1,0.98,t,3,t,f,Entire home/apt,6,1 bath,2,3,324,2,1125,14,33,56,135,12,6,1,4.75,5,4.58,5,5,5,4.75,f,0.49,0,1691,2,26
within an hour,1,1,f,0,t,t,Entire home/apt,8,1.5 baths,4,5,150,2,7,15,37,57,147,108,42,3,4.71,4.83,4.77,5,4.96,4.93,4.77,t,3.7,0,1435,4,36
within an hour,0.89,0.99,f,729,t,f,Entire home/apt,4,1 bath,2,2,134,2,1125,14,40,70,345,30,19,2,4.7,4.8,4.87,5,4.83,4.8,4.77,t,1.08,61,1489,3,29
within an hour,1,1,t,1,t,t,Entire home/apt,2,1 bath,1,1,60,2,10,10,30,56,146,107,50,5,4.88,4.92,4.98,4.99,4.97,4.84,4.89,t,4.49,0,1796,5,24
within an hour,1,0.96,t,14,t,t,Entire home/apt,6,1.5 baths,3,4,115,1,180,6,25,55,190,42,13,1,4.71,4.83,4.86,5,4.95,4.5,4.71,t,1.88,12,2789,4,35
within an hour,1,1,f,2,t,t,Entire home/apt,6,2.5 baths,3,4,120,2,1125,5,12,27,27,95,39,1,4.86,4.93,4.87,4.99,4.85,4.69,4.82,t,3.66,46,2293,4,40
within an hour,1,0.92,t,0,t,t,Entire home/apt,4,1 bath,1,2,126,2,15,13,13,13,41,44,44,8,5,5,5,5,4.98,4.95,4.95,f,10.08,79,2361,7,49
within an hour,1,1,t,18,t,f,Private room,2,1 private bath,1,0,28,1,5,27,57,87,177,61,20,1,4.77,4.87,4.74,4.84,4.79,4.8,4.77,t,2.07,13,1490,4,10
within an hour,1,1,t,110,t,t,Entire home/apt,4,1 bath,1,2,271,1,365,24,54,84,359,61,22,1,4.74,4.77,4.89,4.89,4.87,4.93,4.62,t,2.58,0,1376,8,23
within a few hours,1,0.97,t,1,t,t,Entire home/apt,6,1 bath,2,2,189,2,1125,15,37,62,337,54,24,0,4.89,4.94,4.94,5,4.96,4.89,4.87,t,18.84,0,881,3,51
within a few hours,1,0.98,t,1,t,f,Entire home/apt,2,1 bath,1,1,111,2,30,3,14,26,252,143,69,5,4.92,4.89,4.94,4.98,4.95,4.96,4.92,f,5.42,0,2470,2,36
within an hour,1,0.97,t,1,t,t,Entire home/apt,2,1 bath,1,1,250,1,1125,19,49,64,64,93,39,5,4.76,4.81,4.8,4.97,4.94,4.86,4.65,f,3.72,100,2708,7,19
within an hour,1,1,t,18,t,f,Private room,2,1 private bath,1,0,26,1,5,23,53,83,173,82,24,2,4.9,4.96,4.77,4.98,4.96,4.98,4.85,t,3.19,13,1490,4,9
within an hour,1,1,t,110,t,t,Entire home/apt,6,2 baths,2,3,366,1,365,10,31,52,327,64,20,1,4.91,4.98,5,4.92,4.92,4.84,4.77,t,2.26,0,1376,8,32
within a few hours,1,0.87,t,1,t,f,Entire home/apt,4,1 bath,1,2,89,2,28,17,37,61,166,104,43,3,4.94,4.94,4.95,4.97,4.98,4.95,4.9,f,34.29,0,881,2,30
within a day,0.8,0.76,t,3,t,t,Entire home/apt,16,4 baths,6,7,579,2,28,6,18,31,198,37,12,3,4.89,4.84,4.89,4.92,4.92,4.97,4.81,f,1.35,16,1256,5,35
within an hour,1,1,t,1,t,f,Entire home/apt,6,2.5 baths,3,4,190,2,1125,3,16,32,280,125,50,6,4.91,4.86,4.91,4.94,4.9,4.91,4.9,t,5.12,0,869,2,35
within a few hours,1,1,t,1,t,f,Entire home/apt,4,1 bath,2,2,219,3,1125,1,16,33,70,60,26,2,4.9,4.88,4.98,5,5,4.83,4.72,f,3.6,20,867,1,31
within a day,1,0.92,t,2,t,t,Entire home/apt,2,1.5 baths,1,2,33,30,1125,0,0,1,157,23,8,0,5,4.96,5,5,5,5,4.96,f,1.46,3,1775,5,36
within an hour,1,1,t,110,t,t,Entire home/apt,4,1 bath,1,2,281,2,365,18,48,78,353,71,24,0,4.63,4.79,4.89,4.97,4.85,4.86,4.58,t,2.51,0,1376,8,26
within an hour,1,1,t,110,t,t,Entire home/apt,6,2 baths,2,2,324,1,365,17,47,77,352,37,12,0,4.68,4.76,4.95,5,4.97,4.84,4.51,t,2.39,0,1376,8,27
within an hour,1,1,t,16,t,t,Entire home/apt,8,1 bath,2,4,181,2,365,11,31,52,313,129,63,5,4.89,4.86,4.95,4.98,4.96,4.86,4.83,t,4.97,35,980,4,45
within an hour,1,1,t,2,t,t,Entire home/apt,4,1 bath,2,3,99,2,1125,6,24,42,258,49,26,2,5,4.98,5,4.98,5,4.94,4.98,t,34.19,73,1386,5,34
within an hour,1,1,t,110,t,t,Entire home/apt,4,1 bath,1,2,281,1,365,23,53,83,358,63,28,0,4.56,4.71,4.92,5,4.83,4.87,4.44,t,2.23,0,1376,8,26
within an hour,1,1,t,16,t,t,Entire home/apt,4,1 bath,1,2,90,1,365,8,32,50,322,117,66,6,4.91,4.95,4.86,4.98,4.98,4.91,4.82,t,6.86,35,980,4,37
within an hour,1,1,t,0,t,t,Entire home/apt,16,3 baths,6,10,306,3,14,0,0,0,0,18,2,1,5,4.94,4.89,5,5,5,5,f,15,46,3303,8,28
within an hour,1,1,t,1,t,t,Entire home/apt,5,2 baths,3,3,189,2,1125,0,13,30,201,93,51,8,4.91,4.98,4.98,5,5,4.88,4.91,t,3.34,10,1340,7,36
within an hour,1,1,t,0,t,t,Private room,2,1 private bath,1,2,219,2,365,7,22,39,289,9,3,0,5,5,5,5,5,4.89,4.89,t,0.4,46,3303,8,21
within an hour,1,1,t,1,t,t,Entire home/apt,1,1 bath,1,1,200,100,100,29,59,74,74,35,9,0,4.97,4.97,4.91,4.97,5,4.97,4.91,f,1.54,65,3334,8,33
within an hour,1,1,f,127,t,t,Entire home/apt,2,1 bath,1,1,208,3,10,2,2,2,2,12,7,1,4.92,4.92,4.92,5,5,4.92,4.83,t,0.49,113,2866,6,15
within an hour,1,1,f,0,t,t,Entire home/apt,8,2 baths,3,5,211,1,59,18,42,68,339,127,55,4,4.76,4.84,4.71,4.91,4.93,4.83,4.74,t,5.92,0,1568,7,45
within an hour,1,1,t,1,t,t,Entire home/apt,2,1 bath,1,2,100,21,1125,8,29,59,313,10,5,0,5,4.9,4.7,4.9,5,5,5,t,0.37,53,3429,7,29
within an hour,1,1,t,110,t,t,Entire home/apt,6,2 baths,2,2,495,2,365,22,48,78,353,18,11,0,5,5,4.89,4.89,5,4.89,4.72,t,1.3,0,1376,8,31
within an hour,1,1,t,21,t,t,Entire home/apt,4,1 bath,2,2,243,2,14,7,35,65,337,41,24,1,4.93,4.95,4.9,4.95,4.95,4.88,4.8,t,3.7,147,3773,7,48
within an hour,1,1,f,127,t,t,Entire home/apt,2,1 bath,1,1,165,3,10,0,0,0,0,20,13,0,4.75,4.85,4.9,4.95,5,4.85,4.7,t,0.77,113,2866,6,14
within an hour,1,1,t,21,t,t,Entire home/apt,4,1 bath,2,2,228,2,14,8,33,63,335,46,26,2,4.98,4.91,4.98,4.96,4.98,4.96,4.87,t,2.1,147,3773,7,44
within an hour,1,1,t,1,t,t,Entire home/apt,6,2 baths,2,3,89,2,60,5,27,55,55,119,53,1,4.97,4.96,4.98,5,4.97,4.94,4.92,t,5.23,0,1473,7,31
within an hour,1,1,t,1,t,t,Entire home/apt,2,1 bath,1,1,144,2,4,0,0,0,0,96,38,4,4.97,4.97,5,4.99,4.97,4.97,4.94,f,4.36,0,2055,6,44
within an hour,1,1,f,188,t,t,Entire home/apt,6,1 bath,2,3,127,2,1125,7,33,63,331,16,8,1,4.94,5,4.88,4.94,4.88,4.94,4.69,t,2.5,165,1502,4,25
within an hour,1,1,t,1,t,f,Entire home/apt,2,1 bath,1,1,81,4,1125,0,16,16,70,64,22,2,4.92,4.94,4.84,4.98,4.98,4.89,4.88,t,2.3,20,843,2,52
within an hour,1,0.96,t,1,t,f,Entire home/apt,2,1 bath,1,1,202,1,30,16,44,74,254,87,42,5,4.95,4.94,4.97,4.98,4.95,4.91,4.82,f,17.52,46,3371,5,49
within an hour,1,1,t,110,t,t,Entire home/apt,4,1 bath,1,2,261,1,365,24,54,84,359,55,26,1,4.51,4.71,4.84,4.95,4.82,4.82,4.38,t,4.98,0,1376,8,29
within an hour,1,0.92,t,3,t,t,Entire home/apt,2,1 bath,1,1,139,3,14,8,28,58,148,94,48,6,4.97,4.95,5,4.96,4.97,4.97,4.88,f,3.87,62,2868,6,46
within an hour,1,1,t,1,t,t,Entire home/apt,2,1 bath,1,1,145,2,1125,0,0,0,0,30,22,0,5,5,5,5,5,5,5,t,2.04,41,1551,8,33
within an hour,1,1,t,1,t,t,Entire home/apt,6,2 baths,3,3,230,4,1125,2,6,9,266,43,19,3,4.95,5,4.71,5,5,4.98,4.9,t,1.62,0,1297,6,30
within an hour,0.9,0.98,f,2,t,t,Hotel room,4,1 bath,1,2,199,1,100,24,52,82,357,72,33,3,4.36,4.74,4.68,4.79,4.58,4.76,4.5,t,3.53,0,1284,2,22
within an hour,1,0.99,t,4,t,t,Private room,2,1 shared bath,1,1,92,1,7,4,20,50,50,11,2,0,4.91,4.91,4.82,4.91,5,4.91,4.82,f,0.44,84,3549,5,30
within an hour,1,1,t,0,t,f,Entire home/apt,2,1 bath,1,1,48,30,1125,0,6,6,227,6,2,1,5,5,5,5,5,5,5,f,0.26,177,3209,3,21
within an hour,1,1,t,1,t,t,Entire home/apt,10,2.5 baths,3,4,406,2,1125,4,17,31,121,100,36,4,4.97,4.97,4.93,5,4.99,4.97,4.9,t,7.94,32,1969,7,62
within an hour,1,1,t,4,t,t,Entire home/apt,16,2.5 baths,5,8,483,2,1125,12,26,43,318,126,76,7,4.94,4.98,4.94,5,5,4.96,4.87,t,48.46,178,2115,5,58
within an hour,1,1,t,21,t,t,Entire home/apt,4,1.5 baths,2,2,258,2,14,3,21,51,322,53,25,2,4.83,4.91,4.87,5,4.98,4.85,4.66,t,2.26,147,3773,7,60
within an hour,0.99,0.98,t,171,t,t,Entire home/apt,8,3 baths,4,5,563,2,365,22,45,68,335,20,8,0,4.9,4.9,5,4.85,4.8,4.9,4.65,t,0.84,63,1853,7,37
within an hour,1,1,t,21,t,t,Entire home/apt,4,2 baths,2,2,238,2,14,3,16,40,312,34,20,1,4.91,4.85,4.94,5,4.91,4.94,4.68,t,3.72,147,3773,7,48
within an hour,1,0.96,t,0,t,t,Entire home/apt,5,1 bath,2,2,156,3,28,12,36,56,56,79,35,2,4.84,4.9,4.8,4.97,4.96,4.95,4.81,f,3.19,1,2657,6,34
within an hour,1,0.93,f,0,t,t,Entire home/apt,4,1 bath,2,1,65,3,1125,0,0,29,304,3,3,0,5,5,5,5,5,5,5,f,0.92,43,2151,8,26
within an hour,1,0.98,t,1,t,f,Entire home/apt,6,2.5 baths,4,4,179,2,14,15,32,62,334,56,33,5,4.96,4.95,4.96,4.95,4.98,4.95,4.95,t,25.85,0,828,1,34
within an hour,1,1,t,3,t,t,Entire home/apt,4,1.5 baths,1,2,109,1,1125,8,34,60,150,160,69,3,4.95,4.98,4.89,4.98,4.97,4.93,4.9,t,24.12,5,1888,8,30
within an hour,1,1,t,1,t,t,Entire home/apt,8,2 baths,4,5,350,3,29,8,25,27,236,19,11,2,4.89,5,4.95,4.95,4.89,4.95,4.74,t,3.13,130,2739,4,37
within an hour,1,1,t,6,t,t,Entire home/apt,14,3 baths,3,7,375,1,29,4,15,28,215,206,102,8,4.92,4.98,4.92,4.99,5,4.94,4.83,f,7.7,40,2861,7,53
within an hour,1,1,t,110,t,t,Entire home/apt,6,2 baths,2,3,366,1,365,21,51,81,356,43,23,0,4.77,4.91,4.95,4.98,4.93,4.86,4.65,t,1.6,0,1376,8,28
within an hour,0.9,0.94,t,2,t,t,Entire home/apt,4,2 baths,3,3,192,2,365,16,39,64,339,47,33,3,4.81,4.83,4.89,4.74,4.79,4.77,4.62,f,10.68,7,1927,7,59
within an hour,1,0.99,t,3,t,t,Private room,2,1 private bath,1,1,66,1,3,24,54,84,359,93,47,6,4.96,4.95,4.97,4.99,4.99,4.96,4.89,f,6.2,62,1771,8,26
within an hour,0.97,1,f,111,t,t,Entire home/apt,8,4 baths,4,4,399,1,1125,9,32,57,332,4,4,0,4.25,4.75,4.75,5,4,4.5,4,t,0.53,0,1588,6,34
within an hour,1,1,t,0,t,t,Entire home/apt,2,1 bath,1,2,132,1,14,10,35,39,39,97,53,3,4.96,4.96,4.99,5,4.99,4.96,4.85,t,4.09,5,3699,5,27
within an hour,1,0.99,t,0,t,t,Entire home/apt,6,1 bath,2,2,103,2,1125,13,40,67,342,113,57,7,4.87,4.92,4.95,4.96,5,4.92,4.94,f,105.94,33,2676,3,38
within an hour,1,1,t,2,t,f,Entire home/apt,7,2 baths,3,5,129,1,1125,5,21,43,133,105,41,4,4.95,4.97,4.91,4.96,4.91,4.93,4.94,f,3.9,36,1080,2,47
within an hour,1,0.99,t,0,t,t,Entire home/apt,4,1 bath,1,3,243,2,30,7,20,28,115,214,90,2,4.98,4.97,4.96,5,5,4.98,4.86,f,15.04,0,1862,5,30
within an hour,1,0.94,t,0,t,t,Private room,2,1 private bath,1,2,165,2,30,16,18,18,18,30,13,3,4.97,5,4.97,5,5,5,4.97,f,1.24,38,2572,7,25
within an hour,1,1,t,0,t,f,Entire home/apt,7,1 bath,1,5,183,2,31,19,45,75,165,82,39,4,4.89,4.94,4.93,5,5,4.95,4.84,t,4.07,62,810,2,45
within an hour,1,1,f,0,t,f,Private room,2,1 private bath,1,1,39,2,10,5,35,44,149,27,5,0,4.74,4.78,4.81,4.85,4.7,4.81,4.81,f,1.68,77,810,2,34
within an hour,1,0.81,t,0,t,t,Entire home/apt,6,2 baths,3,3,250,3,1125,7,22,52,280,32,15,2,5,5,5,5,5,4.94,4.88,f,1.22,0,2424,4,49
within an hour,0.96,0.99,t,3,t,t,Entire home/apt,4,2 baths,2,2,346,2,1125,12,28,51,96,61,29,4,4.98,5,4.98,4.95,5,5,4.84,t,3.03,79,1171,5,43
within an hour,1,1,t,0,t,f,Entire home/apt,4,1 bath,1,2,140,2,31,14,44,74,164,72,36,6,4.88,4.97,4.94,5,4.99,4.94,4.82,t,2.7,62,810,2,36
within an hour,1,1,t,110,t,t,Entire home/apt,6,2 baths,2,3,481,1,365,14,32,52,317,43,11,0,4.88,4.93,4.98,4.95,4.98,4.98,4.6,t,2.15,0,1376,8,32
within an hour,1,1,t,110,t,t,Entire home/apt,4,1 bath,1,2,302,1,365,6,31,52,324,35,12,0,4.83,4.94,4.97,4.97,5,4.97,4.74,t,1.32,0,1376,8,31
within an hour,1,0.97,t,3,t,t,Entire home/apt,4,1 bath,2,2,238,2,21,9,27,57,329,148,68,7,4.97,4.99,5,5,4.99,4.93,4.93,t,6.77,0,2189,4,36
within an hour,1,0.97,t,3,t,t,Entire home/apt,6,2 baths,3,3,254,1,21,22,48,76,346,18,18,6,5,5,5,5,5,4.94,4.94,f,4.74,0,2189,4,46
within an hour,1,0.96,f,0,t,f,Entire home/apt,4,1 bath,1,2,190,1,28,0,0,0,0,67,33,4,4.88,4.95,4.89,4.89,4.91,4.95,4.83,t,27.92,0,800,2,34
within an hour,1,1,f,188,t,t,Entire home/apt,8,2 baths,3,4,162,2,1125,18,44,74,345,11,9,0,4.82,4.73,5,5,4.73,4.82,4.82,t,0.45,165,1502,4,28
within an hour,1,1,t,0,t,f,Entire home/apt,3,1 bath,1,3,129,2,31,18,48,78,353,81,27,1,4.88,4.94,4.96,4.99,4.99,4.96,4.86,t,19.29,62,810,2,35
within an hour,1,0.98,t,0,t,t,Entire home/apt,6,2 baths,2,4,219,2,1125,0,0,0,1,96,28,0,5,5,4.99,4.98,4.99,4.88,4.98,t,3.7,69,921,6,36
within an hour,1,1,t,110,t,t,Entire home/apt,4,1 bath,1,2,302,1,365,9,39,69,344,60,26,1,4.67,4.9,4.97,4.85,4.92,4.97,4.55,t,2.4,0,1376,8,33
within an hour,1,1,t,110,t,t,Entire home/apt,4,1 bath,1,1,352,1,365,12,38,65,337,50,23,0,4.9,4.9,4.98,4.96,4.98,4.92,4.42,t,1.92,0,1376,8,34
within an hour,1,0.99,f,2,t,t,Entire home/apt,10,2 baths,4,5,294,2,1125,18,40,54,324,88,35,2,4.69,4.77,4.52,4.88,4.7,4.89,4.81,t,3.42,77,1749,8,31
within an hour,1,1,t,2,t,t,Entire home/apt,4,2 baths,2,2,205,1,1125,11,33,57,57,60,29,0,4.97,4.97,4.98,5,5,4.92,4.87,t,2.31,59,1913,7,28
within an hour,1,1,t,110,t,t,Entire home/apt,4,1 bath,1,2,381,1,365,8,38,68,343,65,26,2,4.75,4.91,4.98,4.92,4.97,4.92,4.69,t,17.41,0,1376,8,31
