host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,about_length,days_hosting,num_verifications,num_amenities
within a few hours,1,0.93,t,1,t,t,Entire home/apt,4,1 bath,1,2,65,2,7,11,31,53,143,254,30,3,4.85,4.97,4.96,4.95,4.94,4.86,4.84,f,6.11,0,2554,8,16
within an hour,1,0.99,t,2,t,t,Entire home/apt,4,1 bath,1,2,47,2,1125,4,19,35,290,388,46,4,4.77,4.89,4.82,4.96,4.94,4.91,4.89,t,5.91,75,3127,8,45
within a few hours,1,1,f,1,t,f,Entire home/apt,3,1 bath,2,2,200,30,1125,14,44,74,164,72,1,0,4.81,4.82,4.99,4.97,4.99,4.64,4.69,f,6.99,10,2669,4,15
within an hour,1,1,t,1,t,t,Entire home/apt,4,1 bath,1,2,151,2,65,9,28,58,331,566,78,7,4.93,4.94,4.95,4.98,4.98,4.94,4.93,t,7.11,53,3172,4,35
within a few hours,1,0,f,0,t,t,Entire home/apt,2,1 bath,1,1,106,30,60,13,43,73,73,63,0,0,4.94,4.98,4.95,4.98,5,4.92,4.9,f,0.8,17,2484,5,18
within a few hours,0.85,0.94,t,2,t,t,Entire home/apt,5,1 bath,2,3,170,1,2,0,0,0,0,520,81,6,4.93,4.92,4.92,4.99,4.99,4.94,4.88,f,12.19,159,2590,4,29
within an hour,1,0.97,t,3,t,f,Entire home/apt,10,2.5 baths,3,6,350,3,31,10,23,37,249,106,11,1,4.99,4.98,5,5,5,4.98,4.9,f,1.97,46,3263,4,55
within a day,1,0.63,f,1,t,t,Entire home/apt,5,1 bath,1,3,250,2,1124,4,14,29,277,86,4,0,4.94,4.95,4.99,4.86,4.95,4.95,4.75,f,2.14,51,2441,5,36
within an hour,1,0.97,t,1,t,t,Private room,2,1 private bath,1,1,102,2,14,8,8,8,8,156,19,2,4.97,4.98,4.97,4.98,4.99,4.97,4.96,t,4.07,67,3110,6,24
within an hour,1,0.98,t,2,t,t,Entire home/apt,5,1 bath,2,2,184,1,1125,6,12,38,313,236,35,2,4.89,4.92,4.79,5,4.99,4.97,4.78,t,3.56,64,2427,5,40
within a few hours,0.75,0.69,f,1,t,t,Entire home/apt,4,1 bath,2,2,125,1,1125,3,9,24,297,293,54,1,4.89,4.91,4.89,4.88,4.78,4.82,4.78,f,12.36,0,2407,3,34
within an hour,1,1,f,1,t,t,Entire home/apt,10,3 baths,2,6,401,3,365,8,25,46,289,116,27,5,4.93,4.94,4.93,4.96,4.96,4.95,4.89,t,3.84,0,2394,5,44
within an hour,1,0.98,t,2,t,t,Entire home/apt,2,1 bath,1,1,86,1,4,3,14,21,21,231,60,7,4.65,4.83,4.82,4.96,4.93,4.83,4.7,t,3.1,162,3126,10,37
within an hour,1,1,t,2,t,t,Entire home/apt,8,3 baths,4,4,297,4,1125,10,30,50,325,127,6,1,4.89,4.92,4.88,4.98,4.98,4.92,4.86,f,1.68,96,2590,6,33
